【实时弹幕】,1664259648987,2022-09-27 14:20:48,Lockersuber,跑步机没货了
【用户正在购买】,1664259652362,2022-09-27 14:20:52,jd_138406hbo,77号
【主播推送商品】,1664259682146,2022-09-27 14:21:22,主播,147号
【主播推送商品】,1664259691162,2022-09-27 14:21:31,主播,147号
【主播推送商品】,1664259698752,2022-09-27 14:21:38,主播,147号
【实时弹幕】,1664259701967,2022-09-27 14:21:41,Lockersuber,跑步机啥时候补货呀
【实时弹幕】,1664259719097,2022-09-27 14:21:59,jd_xianli185,领券享专属优惠
【用户关注】,1664259719160,2022-09-27 14:21:59,jd_xianli185
【实时弹幕】,1664259726702,2022-09-27 14:22:06,jd_tqJnbeLgmOUc,领券享专属优惠
【用户正在购买】,1664259731335,2022-09-27 14:22:11,jd_438288296,147号
【用户正在购买】,1664259751578,2022-09-27 14:22:31,jd_438288296,146号
【主播推送商品】,1664259760757,2022-09-27 14:22:40,主播,147号
【用户正在购买】,1664259770277,2022-09-27 14:22:50,jd_438288296,138号
【用户正在购买】,1664259771352,2022-09-27 14:22:51,jd_603db85eb011c,100号
【用户正在购买】,1664259821842,2022-09-27 14:23:41,星海穹心,17号
【用户正在购买】,1664259847912,2022-09-27 14:24:07,买买66,144号
【用户正在购买】,1664259848866,2022-09-27 14:24:08,赵国华779,121号
【实时弹幕】,1664259896243,2022-09-27 14:24:56,买买买不要停丶,领券享专属优惠
【用户关注】,1664259896314,2022-09-27 14:24:56,买买买不要停丶
【实时弹幕】,1664259946107,2022-09-27 14:25:46,gong闪电-138,领券享专属优惠
【用户加入购物车】,1664259958053,2022-09-27 14:25:58,仙女的傻狗,144号
【用户正在购买】,1664259959953,2022-09-27 14:25:59,仙女的傻狗,144号
【用户关注】,1664259960835,2022-09-27 14:26:00,舒舒舒舒舒舒克_
【用户正在购买】,1664259964295,2022-09-27 14:26:04,李airline,86号
【用户正在购买】,1664259987691,2022-09-27 14:26:27,国豪5201314,113号
【实时弹幕】,1664259991861,2022-09-27 14:26:31,云NG,领券享专属优惠
【实时弹幕】,1664259998979,2022-09-27 14:26:38,仙女的傻狗,领券享专属优惠
【用户关注】,1664259999090,2022-09-27 14:26:39,仙女的傻狗
【实时弹幕】,1664259999574,2022-09-27 14:26:39,蒜苗yuan123,领券享专属优惠
【用户关注】,1664259999625,2022-09-27 14:26:39,蒜苗yuan123
【用户正在购买】,1664260010393,2022-09-27 14:26:50,jd_4ee13a681e80b,94号
【实时弹幕】,1664260019087,2022-09-27 14:26:59,云NG,优惠券怎么领
【实时弹幕】,1664260023169,2022-09-27 14:27:03,jd_一年级的学生,领券享专属优惠
【实时弹幕】,1664260024897,2022-09-27 14:27:04,黑土知青,领券享专属优惠
【用户关注】,1664260025049,2022-09-27 14:27:05,黑土知青
【用户正在购买】,1664260027633,2022-09-27 14:27:07,国豪5201314,113号
【用户加入购物车】,1664260029805,2022-09-27 14:27:09,蒜苗yuan123,130号
【用户正在购买】,1664260030934,2022-09-27 14:27:10,蒜苗yuan123,130号
【用户正在购买】,1664260061307,2022-09-27 14:27:41,游言燕陌1,141号
【实时弹幕】,1664260069676,2022-09-27 14:27:49,庄梦旋,领券享专属优惠
【用户正在购买】,1664260069752,2022-09-27 14:27:49,抱我几多,90号
【用户正在购买】,1664260147627,2022-09-27 14:29:07,蒜苗yuan123,130号
【用户正在购买】,1664260182353,2022-09-27 14:29:42,曾烨宥煜,138号
【用户正在购买】,1664260186493,2022-09-27 14:29:46,jd_343835473,138号
【用户正在购买】,1664260191600,2022-09-27 14:29:51,lyl90nef,140号
【实时弹幕】,1664260194757,2022-09-27 14:29:54,我最爱星星,领券享专属优惠
【用户正在购买】,1664260195391,2022-09-27 14:29:55,jd_603db85eb011c,100号
【用户正在购买】,1664260235130,2022-09-27 14:30:35,andyfancy,143号
【用户正在购买】,1664260244031,2022-09-27 14:30:44,jd_hZtazseRUYdi,62号
【用户正在购买】,1664260259513,2022-09-27 14:30:59,guaiding,85号
【用户正在购买】,1664260275645,2022-09-27 14:31:15,bettyjin168,133号
【用户正在购买】,1664260298225,2022-09-27 14:31:38,bettyjin168,126号
【实时弹幕】,1664260301121,2022-09-27 14:31:41,jd_7b97b41a7be85,领券享专属优惠
【用户正在购买】,1664260312979,2022-09-27 14:31:52,bettyjin168,120号
【主播推送商品】,1664260318452,2022-09-27 14:31:58,主播,147号
【主播推送商品】,1664260332040,2022-09-27 14:32:12,主播,145号
【用户正在购买】,1664260360255,2022-09-27 14:32:40,bettyjin168,101号
【实时弹幕】,1664260364587,2022-09-27 14:32:44,130a2212,领券享专属优惠
【用户正在购买】,1664260397384,2022-09-27 14:33:17,bettyjin168,96号
